O1ENSID	O2ENSID
ENSMUSG00000104444	
ENSMUSG00000101676	
ENSMUSG00000104165	
ENSMUSG00000032309	ENSDARG00000053505
ENSMUSG00000098134	ENSDARG00000037930
ENSMUSG00000046180	ENSDARG00000058212
ENSMUSG00000096375	
ENSMUSG00000004768	ENSDARG00000004151
ENSMUSG00000101351	
ENSMUSG00000089932	
ENSMUSG00000090877	
ENSMUSG00000069633	ENSDARG00000025559
ENSMUSG00000060149	
ENSMUSG00000044597	ENSDARG00000006837
ENSMUSG00000058838	
ENSMUSG00000085070	
ENSMUSG00000063628	
ENSMUSG00000103903	
ENSMUSG00000051663	
ENSMUSG00000083405	
ENSMUSG00000099653	
ENSMUSG00000064115	ENSDARG00000062633
ENSMUSG00000064115	ENSDARG00000009930
ENSMUSG00000039539	
ENSMUSG00000102393	
ENSMUSG00000066586	
ENSMUSG00000083714	
ENSMUSG00000103848	
ENSMUSG00000046269	ENSDARG00000040407
ENSMUSG00000061080	ENSDARG00000103069
ENSMUSG00000040165	ENSDARG00000076778
ENSMUSG00000040165	ENSDARG00000102680
ENSMUSG00000040165	ENSDARG00000088727
ENSMUSG00000040165	ENSDARG00000025150
ENSMUSG00000040165	ENSDARG00000092749
ENSMUSG00000040165	ENSDARG00000025547
ENSMUSG00000040165	ENSDARG00000008182
ENSMUSG00000040165	ENSDARG00000018327
ENSMUSG00000040165	ENSDARG00000043894
ENSMUSG00000040165	ENSDARG00000092502
ENSMUSG00000040165	ENSDARG00000094357
ENSMUSG00000040165	ENSDARG00000088219
ENSMUSG00000040165	ENSDARG00000069323
ENSMUSG00000040165	ENSDARG00000059254
ENSMUSG00000040165	ENSDARG00000056379
ENSMUSG00000040165	ENSDARG00000095127
ENSMUSG00000040165	ENSDARG00000094796
ENSMUSG00000040165	ENSDARG00000029461
ENSMUSG00000040165	ENSDARG00000095424
ENSMUSG00000040165	ENSDARG00000077975
ENSMUSG00000040165	ENSDARG00000089377
ENSMUSG00000040165	ENSDARG00000079425
ENSMUSG00000040165	ENSDARG00000096624
ENSMUSG00000040165	ENSDARG00000008075
ENSMUSG00000040165	ENSDARG00000079903
ENSMUSG00000040165	ENSDARG00000094882
ENSMUSG00000040165	ENSDARG00000087245
ENSMUSG00000040165	ENSDARG00000012263
ENSMUSG00000101418	
ENSMUSG00000058590	
ENSMUSG00000043760	
ENSMUSG00000026723	ENSDARG00000034518
ENSMUSG00000080050	
ENSMUSG00000099718	
ENSMUSG00000105101	
ENSMUSG00000108105	
ENSMUSG00000101897	
ENSMUSG00000045876	
ENSMUSG00000057101	ENSDARG00000099986
ENSMUSG00000104125	
ENSMUSG00000094542	
ENSMUSG00000103733	
ENSMUSG00000021287	ENSDARG00000017928
ENSMUSG00000098181	
ENSMUSG00000104235	
ENSMUSG00000001804	ENSDARG00000039665
ENSMUSG00000001804	ENSDARG00000062750
ENSMUSG00000001804	ENSDARG00000076426
ENSMUSG00000082326	
ENSMUSG00000102862	
ENSMUSG00000099492	
ENSMUSG00000092265	
ENSMUSG00000100668	
ENSMUSG00000086423	
ENSMUSG00000078752	
ENSMUSG00000083363	
ENSMUSG00000097584	
ENSMUSG00000087365	
ENSMUSG00000000617	ENSDARG00000025671
ENSMUSG00000000617	ENSDARG00000017742
ENSMUSG00000082497	
ENSMUSG00000025128	ENSDARG00000058039
ENSMUSG00000032101	
ENSMUSG00000048411	
ENSMUSG00000045337	
ENSMUSG00000108342	
ENSMUSG00000069899	ENSDARG00000007362
ENSMUSG00000105898	
ENSMUSG00000103604	
ENSMUSG00000007038	ENSDARG00000008832
ENSMUSG00000094652	
ENSMUSG00000024646	ENSDARG00000098589
ENSMUSG00000094739	
ENSMUSG00000095864	
ENSMUSG00000072421	
ENSMUSG00000104404	
ENSMUSG00000020376	ENSDARG00000089767
ENSMUSG00000092362	
ENSMUSG00000094679	
ENSMUSG00000036782	ENSDARG00000086463
ENSMUSG00000036782	ENSDARG00000103786
ENSMUSG00000103024	
ENSMUSG00000101100	
ENSMUSG00000089794	
ENSMUSG00000099922	
ENSMUSG00000100451	
ENSMUSG00000039221	ENSDARG00000010244
ENSMUSG00000082818	
ENSMUSG00000045498	
ENSMUSG00000104502	
ENSMUSG00000083124	
ENSMUSG00000100302	
ENSMUSG00000099650	
ENSMUSG00000095125	
ENSMUSG00000092618	ENSDARG00000102296
ENSMUSG00000022781	ENSDARG00000068177
ENSMUSG00000022781	ENSDARG00000018476
ENSMUSG00000100023	
ENSMUSG00000024424	ENSDARG00000102308
ENSMUSG00000101249	
ENSMUSG00000079702	
ENSMUSG00000083269	
ENSMUSG00000100110	
ENSMUSG00000101206	
ENSMUSG00000055653	ENSDARG00000032199
ENSMUSG00000037197	ENSDARG00000031346
ENSMUSG00000005983	
ENSMUSG00000103909	
ENSMUSG00000100792	
ENSMUSG00000050304	ENSDARG00000062271
ENSMUSG00000050304	ENSDARG00000063539
ENSMUSG00000103950	
ENSMUSG00000101796	
ENSMUSG00000033319	ENSDARG00000102147
ENSMUSG00000094752	
ENSMUSG00000044864	
ENSMUSG00000102506	
ENSMUSG00000102799	
ENSMUSG00000101528	
ENSMUSG00000091745	
ENSMUSG00000019756	
ENSMUSG00000100109	
ENSMUSG00000104521	
ENSMUSG00000057789	
ENSMUSG00000100428	
ENSMUSG00000047383	
ENSMUSG00000102668	
ENSMUSG00000092441	
ENSMUSG00000037730	ENSDARG00000007271
ENSMUSG00000099479	
ENSMUSG00000100848	
ENSMUSG00000091887	
ENSMUSG00000027530	ENSDARG00000017299
ENSMUSG00000027530	ENSDARG00000002311
ENSMUSG00000027530	ENSDARG00000099907
ENSMUSG00000091292	
ENSMUSG00000079168	ENSDARG00000076778
ENSMUSG00000079168	ENSDARG00000102680
ENSMUSG00000079168	ENSDARG00000088727
ENSMUSG00000079168	ENSDARG00000025150
ENSMUSG00000079168	ENSDARG00000092749
ENSMUSG00000079168	ENSDARG00000025547
ENSMUSG00000079168	ENSDARG00000008182
ENSMUSG00000079168	ENSDARG00000018327
ENSMUSG00000079168	ENSDARG00000043894
ENSMUSG00000079168	ENSDARG00000092502
ENSMUSG00000079168	ENSDARG00000094357
ENSMUSG00000079168	ENSDARG00000088219
ENSMUSG00000079168	ENSDARG00000069323
ENSMUSG00000079168	ENSDARG00000059254
ENSMUSG00000079168	ENSDARG00000056379
ENSMUSG00000079168	ENSDARG00000095127
ENSMUSG00000079168	ENSDARG00000094796
ENSMUSG00000079168	ENSDARG00000029461
ENSMUSG00000079168	ENSDARG00000095424
ENSMUSG00000079168	ENSDARG00000077975
ENSMUSG00000079168	ENSDARG00000089377
ENSMUSG00000079168	ENSDARG00000079425
ENSMUSG00000079168	ENSDARG00000096624
ENSMUSG00000079168	ENSDARG00000008075
ENSMUSG00000079168	ENSDARG00000079903
ENSMUSG00000079168	ENSDARG00000094882
ENSMUSG00000079168	ENSDARG00000087245
ENSMUSG00000079168	ENSDARG00000012263
ENSMUSG00000100105	
ENSMUSG00000101492	
ENSMUSG00000090334	
ENSMUSG00000021098	
ENSMUSG00000098000	
ENSMUSG00000031344	
ENSMUSG00000100875	
ENSMUSG00000047603	ENSDARG00000022952
ENSMUSG00000035439	ENSDARG00000091031
ENSMUSG00000073131	ENSDARG00000093945
ENSMUSG00000000263	ENSDARG00000012019
ENSMUSG00000084374	
ENSMUSG00000062327	ENSDARG00000039806
ENSMUSG00000046768	ENSDARG00000020250
ENSMUSG00000026065	ENSDARG00000058780
ENSMUSG00000022505	ENSDARG00000044588
ENSMUSG00000020956	ENSDARG00000036775
ENSMUSG00000034209	ENSDARG00000062314
ENSMUSG00000099551	
ENSMUSG00000074677	
ENSMUSG00000021318	
ENSMUSG00000031181	
ENSMUSG00000098104	
ENSMUSG00000090352	
ENSMUSG00000104384	
ENSMUSG00000098210	
ENSMUSG00000081297	
ENSMUSG00000101007	
ENSMUSG00000069292	
ENSMUSG00000074404	
ENSMUSG00000104203	
ENSMUSG00000103352	
ENSMUSG00000081201	
ENSMUSG00000083942	
ENSMUSG00000097430	
ENSMUSG00000100541	
ENSMUSG00000103592	
ENSMUSG00000101159	
ENSMUSG00000080757	
ENSMUSG00000101753	
ENSMUSG00000090662	
ENSMUSG00000099346	
ENSMUSG00000100641	
ENSMUSG00000046337	
ENSMUSG00000035148	
ENSMUSG00000041439	ENSDARG00000032318
ENSMUSG00000041439	ENSDARG00000054583
ENSMUSG00000043308	
ENSMUSG00000102335	
ENSMUSG00000103472	ENSDARG00000086969
ENSMUSG00000103472	ENSDARG00000104438
ENSMUSG00000100300	
ENSMUSG00000098744	
ENSMUSG00000074469	
ENSMUSG00000037636	ENSDARG00000102048
ENSMUSG00000033177	ENSDARG00000086161
ENSMUSG00000089780	
ENSMUSG00000103629	
ENSMUSG00000031621	
ENSMUSG00000101468	
ENSMUSG00000045929	
ENSMUSG00000069038	
ENSMUSG00000107985	
ENSMUSG00000050122	
ENSMUSG00000027775	ENSDARG00000101379
ENSMUSG00000108761	
ENSMUSG00000090824	
ENSMUSG00000049421	ENSDARG00000098536
ENSMUSG00000049421	ENSDARG00000102154
ENSMUSG00000049421	ENSDARG00000100509
ENSMUSG00000049421	ENSDARG00000101193
ENSMUSG00000049421	ENSDARG00000101365
ENSMUSG00000031842	ENSDARG00000002411
ENSMUSG00000031842	ENSDARG00000013221
ENSMUSG00000024619	ENSDARG00000058999
ENSMUSG00000090179	
ENSMUSG00000039956	
ENSMUSG00000026024	ENSDARG00000076924
ENSMUSG00000096686	
ENSMUSG00000024191	ENSDARG00000078259
ENSMUSG00000024191	ENSDARG00000104280
ENSMUSG00000087452	
ENSMUSG00000095859	
ENSMUSG00000099343	
ENSMUSG00000101794	
ENSMUSG00000105065	
ENSMUSG00000020462	ENSDARG00000037079
ENSMUSG00000083492	
ENSMUSG00000104455	
ENSMUSG00000031601	ENSDARG00000032116
ENSMUSG00000099505	
ENSMUSG00000084074	
ENSMUSG00000093536	
ENSMUSG00000099716	
ENSMUSG00000101109	
ENSMUSG00000101474	
ENSMUSG00000027742	ENSDARG00000103149
ENSMUSG00000031688	ENSDARG00000069737
ENSMUSG00000042848	
ENSMUSG00000044352	ENSDARG00000077861
ENSMUSG00000044352	ENSDARG00000079125
ENSMUSG00000102589	
ENSMUSG00000099917	
ENSMUSG00000050901	ENSDARG00000086493
ENSMUSG00000026051	ENSDARG00000056087
ENSMUSG00000026051	ENSDARG00000088717
ENSMUSG00000080952	
ENSMUSG00000081603	
ENSMUSG00000033961	
ENSMUSG00000014232	ENSDARG00000079110
ENSMUSG00000043079	
ENSMUSG00000072387	
ENSMUSG00000046152	ENSDARG00000100322
ENSMUSG00000102264	
ENSMUSG00000100764	
ENSMUSG00000002395	ENSDARG00000007250
ENSMUSG00000086676	
ENSMUSG00000092584	
ENSMUSG00000100635	
ENSMUSG00000080795	
ENSMUSG00000010803	ENSDARG00000068989
ENSMUSG00000027669	
ENSMUSG00000099606	
ENSMUSG00000033499	ENSDARG00000062146
ENSMUSG00000098880	
ENSMUSG00000097581	ENSDARG00000057912
ENSMUSG00000082926	
ENSMUSG00000084252	
ENSMUSG00000103023	
ENSMUSG00000104013	
ENSMUSG00000103458	ENSDARG00000104598
ENSMUSG00000103458	ENSDARG00000102719
ENSMUSG00000103458	ENSDARG00000104141
ENSMUSG00000103458	ENSDARG00000037691
ENSMUSG00000103458	ENSDARG00000090348
ENSMUSG00000103458	ENSDARG00000104080
ENSMUSG00000103458	ENSDARG00000101318
ENSMUSG00000103458	ENSDARG00000099468
ENSMUSG00000103458	ENSDARG00000089289
ENSMUSG00000103458	ENSDARG00000103602
ENSMUSG00000103458	ENSDARG00000103906
ENSMUSG00000103458	ENSDARG00000091043
ENSMUSG00000103458	ENSDARG00000089874
ENSMUSG00000103458	ENSDARG00000071904
ENSMUSG00000103458	ENSDARG00000089297
ENSMUSG00000103458	ENSDARG00000089593
ENSMUSG00000098720	
ENSMUSG00000103689	
ENSMUSG00000040987	ENSDARG00000051712
ENSMUSG00000040987	ENSDARG00000096940
ENSMUSG00000040987	ENSDARG00000051710
ENSMUSG00000040987	ENSDARG00000016056
ENSMUSG00000040987	ENSDARG00000051713
ENSMUSG00000040987	ENSDARG00000023203
ENSMUSG00000040987	ENSDARG00000096977
ENSMUSG00000040987	ENSDARG00000016227
ENSMUSG00000040987	ENSDARG00000097766
ENSMUSG00000040987	ENSDARG00000097275
ENSMUSG00000040987	ENSDARG00000051711
ENSMUSG00000040987	ENSDARG00000055813
ENSMUSG00000040987	ENSDARG00000096830
ENSMUSG00000092246	
ENSMUSG00000067951	
ENSMUSG00000086711	
ENSMUSG00000100565	
ENSMUSG00000092412	
ENSMUSG00000026069	ENSDARG00000088672
ENSMUSG00000026069	ENSDARG00000090844
ENSMUSG00000107620	
ENSMUSG00000102676	
ENSMUSG00000081119	
ENSMUSG00000071217	
ENSMUSG00000094602	
ENSMUSG00000087266	
ENSMUSG00000022519	ENSDARG00000104356
ENSMUSG00000022519	ENSDARG00000104587
ENSMUSG00000103555	
ENSMUSG00000101962	
ENSMUSG00000102865	
ENSMUSG00000103309	
ENSMUSG00000025934	ENSDARG00000090228
ENSMUSG00000025934	ENSDARG00000039832
ENSMUSG00000080968	
ENSMUSG00000104441	
ENSMUSG00000092019	ENSDARG00000057912
ENSMUSG00000095565	ENSDARG00000096267
ENSMUSG00000095565	ENSDARG00000096340
ENSMUSG00000095565	ENSDARG00000096337
ENSMUSG00000095565	ENSDARG00000096244
ENSMUSG00000095565	ENSDARG00000096388
ENSMUSG00000095565	ENSDARG00000096342
ENSMUSG00000095565	ENSDARG00000096255
ENSMUSG00000095565	ENSDARG00000096241
ENSMUSG00000095565	ENSDARG00000096392
ENSMUSG00000095565	ENSDARG00000096308
ENSMUSG00000095565	ENSDARG00000096296
ENSMUSG00000095565	ENSDARG00000096318
ENSMUSG00000091055	ENSDARG00000032743
ENSMUSG00000104051	
ENSMUSG00000038055	ENSDARG00000055474
ENSMUSG00000097945	
ENSMUSG00000104023	
ENSMUSG00000101227	
ENSMUSG00000103353	
ENSMUSG00000059851	ENSDARG00000075461
ENSMUSG00000101300	
ENSMUSG00000100789	
ENSMUSG00000102502	
ENSMUSG00000042185	ENSDARG00000091512
ENSMUSG00000066366	ENSDARG00000090286
ENSMUSG00000066366	ENSDARG00000074712
ENSMUSG00000066366	ENSDARG00000077960
ENSMUSG00000066366	ENSDARG00000087143
ENSMUSG00000066366	ENSDARG00000091136
ENSMUSG00000066366	ENSDARG00000090850
ENSMUSG00000058568	
ENSMUSG00000101304	
ENSMUSG00000009090	ENSDARG00000020621
ENSMUSG00000082650	
ENSMUSG00000050954	
ENSMUSG00000079941	ENSDARG00000011208
ENSMUSG00000079941	ENSDARG00000015978
ENSMUSG00000079941	ENSDARG00000068738
ENSMUSG00000083588	
ENSMUSG00000033900	ENSDARG00000037276
ENSMUSG00000069806	ENSDARG00000070624
ENSMUSG00000069806	ENSDARG00000063006
ENSMUSG00000073730	ENSDARG00000044541
ENSMUSG00000073730	ENSDARG00000030161
ENSMUSG00000095867	
ENSMUSG00000006191	ENSDARG00000104848
ENSMUSG00000102888	ENSDARG00000096376
ENSMUSG00000102888	ENSDARG00000096424
ENSMUSG00000102888	ENSDARG00000096406
ENSMUSG00000098056	
ENSMUSG00000082424	
ENSMUSG00000062511	
ENSMUSG00000047414	ENSDARG00000097299
ENSMUSG00000047414	ENSDARG00000079355
ENSMUSG00000041075	ENSDARG00000027589
ENSMUSG00000041075	ENSDARG00000060004
ENSMUSG00000076620	
ENSMUSG00000087637	
ENSMUSG00000101932	
ENSMUSG00000096753	
ENSMUSG00000050605	ENSDARG00000022952
ENSMUSG00000054383	
ENSMUSG00000101228	
ENSMUSG00000061991	
ENSMUSG00000078218	
ENSMUSG00000019432	ENSDARG00000036069
ENSMUSG00000097819	
ENSMUSG00000100445	
ENSMUSG00000103897	ENSDARG00000086969
ENSMUSG00000103897	ENSDARG00000104438
ENSMUSG00000085440	
ENSMUSG00000002565	ENSDARG00000010728
ENSMUSG00000081442	
ENSMUSG00000031576	
ENSMUSG00000068284	ENSDARG00000077431
ENSMUSG00000084994	
ENSMUSG00000030413	ENSDARG00000068382
ENSMUSG00000068073	
ENSMUSG00000079592	ENSDARG00000056134
ENSMUSG00000018849	ENSDARG00000076041
ENSMUSG00000100604	
ENSMUSG00000049685	ENSDARG00000101423
ENSMUSG00000049685	ENSDARG00000068493
ENSMUSG00000069083	
ENSMUSG00000023919	
ENSMUSG00000085094	
ENSMUSG00000083428	
ENSMUSG00000101484	
ENSMUSG00000080321	
ENSMUSG00000048148	ENSDARG00000076110
ENSMUSG00000032068	
ENSMUSG00000035847	ENSDARG00000071699
ENSMUSG00000082823	
ENSMUSG00000082817	
ENSMUSG00000037406	ENSDARG00000005943
ENSMUSG00000031554	
ENSMUSG00000085489	
ENSMUSG00000100365	
ENSMUSG00000086128	
ENSMUSG00000091264	ENSDARG00000089204
ENSMUSG00000086757	
ENSMUSG00000094187	
ENSMUSG00000102514	
ENSMUSG00000079049	ENSDARG00000070396
ENSMUSG00000079049	ENSDARG00000055416
ENSMUSG00000101529	
ENSMUSG00000092428	
ENSMUSG00000099985	
ENSMUSG00000032306	ENSDARG00000030786
ENSMUSG00000039200	ENSDARG00000089698
ENSMUSG00000034570	ENSDARG00000093359
ENSMUSG00000034570	ENSDARG00000078542
ENSMUSG00000103082	
ENSMUSG00000095416	ENSDARG00000096376
ENSMUSG00000095416	ENSDARG00000096424
ENSMUSG00000095416	ENSDARG00000096406
ENSMUSG00000081769	
ENSMUSG00000100726	
ENSMUSG00000102629	
ENSMUSG00000100050	
ENSMUSG00000084136	
ENSMUSG00000099532	
ENSMUSG00000101010	
ENSMUSG00000098119	
ENSMUSG00000083129	
ENSMUSG00000068037	
ENSMUSG00000084954	
ENSMUSG00000086289	
ENSMUSG00000099916	
ENSMUSG00000092544	
ENSMUSG00000103300	
ENSMUSG00000083094	
ENSMUSG00000100609	
ENSMUSG00000097931	
ENSMUSG00000100708	
ENSMUSG00000102528	
ENSMUSG00000101442	
ENSMUSG00000082770	
ENSMUSG00000087300	
ENSMUSG00000086460	
ENSMUSG00000078212	
ENSMUSG00000107972	
ENSMUSG00000062483	
ENSMUSG00000082540	
ENSMUSG00000049761	
ENSMUSG00000079554	ENSDARG00000071475
ENSMUSG00000085167	
ENSMUSG00000094181	
ENSMUSG00000100968	
ENSMUSG00000046119	
ENSMUSG00000079179	
ENSMUSG00000049800	ENSDARG00000055530
ENSMUSG00000100775	
ENSMUSG00000079070	
ENSMUSG00000103630	
ENSMUSG00000034274	ENSDARG00000038290
ENSMUSG00000033313	ENSDARG00000054222
ENSMUSG00000101500	
ENSMUSG00000104354	
ENSMUSG00000083353	
ENSMUSG00000056895	ENSDARG00000100305
ENSMUSG00000050052	
ENSMUSG00000106166	
ENSMUSG00000080777	
ENSMUSG00000045284	
ENSMUSG00000097497	
ENSMUSG00000087224	
ENSMUSG00000032818	ENSDARG00000094738
ENSMUSG00000032818	ENSDARG00000074638
ENSMUSG00000095899	
ENSMUSG00000031165	ENSDARG00000026350
ENSMUSG00000031165	ENSDARG00000015149
ENSMUSG00000098564	
ENSMUSG00000092260	
ENSMUSG00000083585	
ENSMUSG00000095522	ENSDARG00000063621
ENSMUSG00000105134	
ENSMUSG00000100683	
ENSMUSG00000038305	
ENSMUSG00000099876	
ENSMUSG00000037029	ENSDARG00000098536
ENSMUSG00000037029	ENSDARG00000102154
ENSMUSG00000037029	ENSDARG00000100509
ENSMUSG00000037029	ENSDARG00000101193
ENSMUSG00000037029	ENSDARG00000101365
ENSMUSG00000069125	
ENSMUSG00000084066	
ENSMUSG00000000167	ENSDARG00000014849
ENSMUSG00000025626	ENSDARG00000004046
ENSMUSG00000031537	ENSDARG00000079123
ENSMUSG00000020609	ENSDARG00000042780
ENSMUSG00000020609	ENSDARG00000022767
ENSMUSG00000020609	ENSDARG00000075016
ENSMUSG00000003484	ENSDARG00000053530
ENSMUSG00000027668	ENSDARG00000011884
ENSMUSG00000027668	ENSDARG00000079219
ENSMUSG00000027668	ENSDARG00000101793
ENSMUSG00000036552	
ENSMUSG00000014771	ENSDARG00000007892
ENSMUSG00000043090	
ENSMUSG00000031385	ENSDARG00000032990
ENSMUSG00000082396	
ENSMUSG00000049659	ENSDARG00000071347
ENSMUSG00000049659	ENSDARG00000069249
ENSMUSG00000084381	
ENSMUSG00000101194	
ENSMUSG00000104313	
ENSMUSG00000027748	ENSDARG00000102017
ENSMUSG00000027748	ENSDARG00000070507
ENSMUSG00000103372	
ENSMUSG00000102321	
ENSMUSG00000095785	
ENSMUSG00000105208	
ENSMUSG00000024769	
ENSMUSG00000100487	
ENSMUSG00000039842	ENSDARG00000058372
ENSMUSG00000055413	
ENSMUSG00000060510	
ENSMUSG00000090466	
ENSMUSG00000066477	
ENSMUSG00000089802	
ENSMUSG00000073415	
ENSMUSG00000099740	
ENSMUSG00000099766	
ENSMUSG00000105262	
ENSMUSG00000081080	
ENSMUSG00000102491	
ENSMUSG00000050088	ENSDARG00000017337
ENSMUSG00000037225	ENSDARG00000104348
ENSMUSG00000103839	
ENSMUSG00000093433	
ENSMUSG00000095163	
ENSMUSG00000035429	
ENSMUSG00000082426	
ENSMUSG00000099726	
ENSMUSG00000059729	
ENSMUSG00000062433	ENSDARG00000088885
ENSMUSG00000055609	ENSDARG00000045144
ENSMUSG00000085686	
ENSMUSG00000007033	
ENSMUSG00000093564	
ENSMUSG00000039545	
ENSMUSG00000060275	ENSDARG00000077818
ENSMUSG00000060275	ENSDARG00000086585
ENSMUSG00000096707	
ENSMUSG00000050058	
ENSMUSG00000040424	
ENSMUSG00000102849	
ENSMUSG00000020289	ENSDARG00000010918
ENSMUSG00000039738	ENSDARG00000061414
ENSMUSG00000039738	ENSDARG00000092927
ENSMUSG00000103618	
ENSMUSG00000101462	
ENSMUSG00000048834	ENSDARG00000021909
ENSMUSG00000096294	
ENSMUSG00000099950	
ENSMUSG00000100421	
ENSMUSG00000080862	
ENSMUSG00000094926	
ENSMUSG00000100971	
ENSMUSG00000083378	
ENSMUSG00000091749	
ENSMUSG00000080828	
ENSMUSG00000083555	
ENSMUSG00000093736	
ENSMUSG00000103482	
