O1GeneName;O1ENSID;O1ENSTID;O1Biotype;O2GeneName;O2ENSID;O2ENSTID;O2Biotype;PMID
LINC-PINT;ENSG00000231721;ENST00000423414,ENST00000433079,ENST00000451786,ENST00000443623,ENST00000435523,ENST00000431189,ENST00000416999,ENST00000429901;antisense;Lincpint;ENSMUSG00000044471;ENSMUST00000187876,ENSMUST00000115107,ENSMUST00000185982,ENSMUST00000188611;lincRNA;24070194, 24381249
LINC00461;ENSG00000245526;ENST00000506978,ENST00000506664,ENST00000506014,ENST00000502301,ENST00000508885,ENST00000509405,ENST00000513805,ENST00000505030,ENST00000500197,ENST00000511014,ENST00000504246,ENST00000509783,ENST00000515885,ENST00000513026,ENST00000513893,ENST00000509265;lincRNA;C130071C03Rik;ENSMUSG00000050334;ENSMUST00000131907,ENSMUST00000185281,ENSMUST00000182788,ENSMUST00000182701,ENSMUST00000187663;lincRNA;12477932, 14702039, 25209608
MALAT1;ENSG00000251562;ENST00000534336,ENST00000619449,ENST00000620902,ENST00000617791,ENST00000544868,ENST00000610481,ENST00000508832,ENST00000616527,ENST00000618925,ENST00000620465,ENST00000612781,ENST00000618132,ENST00000613376,ENST00000610851,ENST00000618227,ENST00000617489,ENST00000616691;lincRNA;Malat1;ENSMUSG00000092341;ENSMUST00000172812,ENSMUST00000173314,ENSMUST00000174808,ENSMUST00000173499,ENSMUST00000173523;lincRNA;12970751, 22560368, 17270048,20729808
MEG3;ENSG00000214548;ENST00000429159,ENST00000520714,ENST00000522771,ENST00000424076,ENST00000423456,ENST00000521404,ENST00000556736,ENST00000451743,ENST00000398518,ENST00000554639,ENST00000452120,ENST00000519709,ENST00000412736,ENST00000455286,ENST00000523671,ENST00000452514,ENST00000398474,ENST00000555928,ENST00000521812,ENST00000398461,ENST00000455531,ENST00000524035,ENST00000524131,ENST00000522618,ENST00000398460,ENST00000521256,ENST00000556407;lincRNA;Meg3;ENSMUSG00000021268;ENSMUST00000129245,ENSMUST00000143836,ENSMUST00000124106,ENSMUST00000143272,ENSMUST00000128178,ENSMUST00000126289,ENSMUST00000146701,ENSMUST00000143847,ENSMUST00000128458,ENSMUST00000150851,ENSMUST00000166636;lincRNA;10759892, 23790166
MIAT;ENSG00000225783;ENST00000421867,ENST00000418918,ENST00000440347,ENST00000450203,ENST00000430483,ENST00000439738,ENST00000422403,ENST00000436238,ENST00000425476,ENST00000455640,ENST00000451141,ENST00000452429,ENST00000413665,ENST00000616469,ENST00000620145,ENST00000616213,ENST00000613780,ENST00000458302,ENST00000419237,ENST00000449717,ENST00000453023;lincRNA;Miat;ENSMUSG00000097767;ENSMUST00000182953,ENSMUST00000181535,ENSMUST00000182258,ENSMUST00000182509,ENSMUST00000183036,ENSMUST00000182699;lincRNA;17066261, 23628989,20459797 
NEAT1;ENSG00000245532;ENST00000499732,ENST00000501122,ENST00000601801,ENST00000612303,ENST00000616315;lincRNA;Neat1;ENSMUSG00000092274;ENSMUST00000173672,ENSMUST00000174287,ENSMUST00000174829;lincRNA;9253601, 9858482, 12565840, 17270048
PVT1;ENSG00000249859;ENST00000504719,ENST00000524165,ENST00000523328,ENST00000521951,ENST00000517525,ENST00000523427,ENST00000517790,ENST00000522963,ENST00000518528,ENST00000523068,ENST00000521122,ENST00000513868,ENST00000520913,ENST00000519481,ENST00000517838,ENST00000512617,ENST00000521600,ENST00000522875,ENST00000523190,ENST00000522414;lincRNA;Pvt1;ENSMUSG00000097039;ENSMUST00000182956,ENSMUST00000182075,ENSMUST00000180432,ENSMUST00000181416,ENSMUST00000181657,ENSMUST00000183297,ENSMUST00000183028,ENSMUST00000182476,ENSMUST00000182380,ENSMUST00000182141;lincRNA;17503467, 23801869
TUG1;ENSG00000253352;ENST00000540687,ENST00000566220,ENST00000519077,ENST00000521091,ENST00000569149,ENST00000563812,ENST00000602393,ENST00000602971,ENST00000569384;antisense;Tug1;ENSMUSG00000056579;ENSMUST00000132077,ENSMUST00000153313,ENSMUST00000144852,ENSMUST00000182330;antisense;15797018, 22961206, 23801869, 24381249
XIST;ENSG00000229807;ENST00000434839,ENST00000421322,ENST00000417942,ENST00000416330,ENST00000429829,ENST00000433732,ENST00000602587,ENST00000445814,ENST00000602863,ENST00000602495;lincRNA;Xist;ENSMUSG00000086503;ENSMUST00000153883,ENSMUST00000127786,ENSMUST00000185876;lincRNA;1985261, 2034279 
ZFAS1;ENSG00000177410;ENST00000371743,ENST00000441722,ENST00000417721,ENST00000450535,ENST00000458653,ENST00000326677,ENST00000428008,ENST00000620594,ENST00000623640,ENST00000618800;antisense;1500012F01Rik;ENSMUSG00000074578;ENSMUST00000189909;antisense;21460236
MEG8;ENSG00000258399;ENST00000553584,ENST00000554852,ENST00000553584,ENST00000556475,ENST00000553421,ENST00000554323,;lincRNA;Rian;ENSMUSG00000097451;ENSMUST00000180876,ENSMUST00000182406,ENSMUST00000181253,ENSMUST00000182981,ENSMUST00000182100,ENSMUST00000181527,ENSMUST00000182088,ENSMUST00000183215,ENSMUST00000182737,ENSMUST00000183266,ENSMUST00000183180,ENSMUST00000183026,ENSMUST00000182238,ENSMUST00000182370,ENSMUST00000182119,ENSMUST00000182689,ENSMUST00000182770;lincRNA;12045206, 1750765
GAS5;ENSG00000234741;ENST00000451607,ENST00000432536,ENST00000430245,ENST00000454068,ENST00000450589,ENST00000448718,ENST00000449289,ENST00000452197,ENST00000414075,ENST00000425771;lincRNA;Gas5;ENSMUSG00000053332;ENSMUST00000159119,ENSMUST00000159706,ENSMUST00000162558,ENSMUST00000161005,ENSMUST00000159663;lincRNA;16705037
GAS5-AS1;ENSG00000270084;ENST00000602767;antisense;Gas5;ENSMUSG00000053332;ENSMUST00000159119,ENSMUST00000159706,ENSMUST00000162558,ENSMUST00000161005,ENSMUST00000159663;lincRNA;16705037
SOX2-OT;ENSG00000242808;ENST00000498731,ENST00000492337,ENST00000597347,ENST00000493521,ENST00000630482,ENST00000476125,ENST00000631025,ENST00000466034,ENST00000630553,ENST00000477928,ENST00000491282,ENST00000627530,ENST00000597828,ENST00000595084,ENST00000628211,ENST00000599082,ENST00000626948,ENST00000628496,ENST00000600386,ENST00000627501,ENST00000600778,ENST00000629112,ENST00000593549,ENST00000487240,ENST00000630887,ENST00000628343,ENST00000626802,ENST00000595313,ENST00000629781,ENST00000627738,ENST00000629830,ENST00000594942,ENST00000600801,ENST00000626619,ENST00000630150,ENST00000597651,ENST00000626299,ENST00000628810,ENST00000596250,ENST00000460739,ENST00000476964,ENST00000595287,ENST00000497122,ENST00000629273,ENST00000629552,ENST00000461063,ENST00000469278,ENST00000485035,ENST00000493116,ENST00000498226,ENST00000598474,ENST00000625581,ENST00000600962,ENST00000593330,ENST00000472856,ENST00000628347,ENST00000490005,ENST00000598867;Sense overlapping;Sox2ot;ENSMUSG00000105265;ENSMUST00000199171,ENSMUST00000197977,ENSMUST00000196850,ENSMUST00000197697,ENSMUST00000198758,ENSMUST00000197103,ENSMUST00000200092,ENSMUST00000196795,ENSMUST00000196058,ENSMUST00000196987,ENSMUST00000200414,ENSMUST00000200625,ENSMUST00000196243,ENSMUST00000197258,ENSMUST00000198170,ENSMUST00000196793;Sense overlapping;19767420
OIP5-AS1;ENSG00000247556;ENST00000500949,ENST00000557993,ENST00000501665,ENST00000558945,ENST00000561275,ENST00000561226,ENST00000559368,ENST00000560706;antisense;1700020I14Rik;ENSMUSG00000085438;ENSMUST00000153581,ENSMUST00000147425;lincRNA;"22196729;21267068"
TUNAR;ENSG00000250366;ENST00000503525,ENST00000504119,ENST00000554321;lincRNA;Tunar;ENSMUSG00000097929;ENSMUST00000180458,ENSMUST00000180503;lincRNA;22196729, 24530304
BIRC6-AS2;ENSG00000279897;ENST00000623382;antisense;Gm26749;ENSMUSG00000097546;ENSMUST00000181387;lincRNA;22196729, 24530304
GNAS-AS1;ENSG00000235590;ENST00000443966,ENST00000424094,ENST00000598163,ENST00000631314;antisense;Nespas;ENSMUSG00000086537;ENSMUST00000151472,ENSMUST00000150276,ENSMUST00000143738;antisense;16462745, 11056047
MEG9;ENSG00000223403;ENST00000429368,ENST00000554016,ENST00000452349;lincRNA;Mirg;ENSMUSG00000097391;ENSMUST00000182185,ENSMUST00000183144,ENSMUST00000182499,ENSMUST00000181496,ENSMUST00000183084,ENSMUST00000181543,ENSMUST00000183116,ENSMUST00000182074,ENSMUST00000182300,ENSMUST00000183068,ENSMUST00000182268,ENSMUST00000182231;lincRNA;19194500
RP11-123M6.2;ENSG00000258663;ENST00000554041;antisense;Gm26906 ;ENSMUSG00000097698;ENSMUST00000180523;lincRNA;18532878
HOXA11-AS;ENSG00000240990;ENST00000522863,ENST00000522674,ENST00000520360,ENST00000520395,ENST00000479766;antisense;Hoxa11os;ENSMUSG00000086427;ENSMUST00000156515,ENSMUST00000134512,ENSMUST00000147174,ENSMUST00000141850,ENSMUST00000154027;antisense;9745033
OTX2-AS1;ENSG00000248550;ENST00000534909,ENST00000554358,ENST00000554358,ENST00000554428;lincRNA;Otx2os1;ENSMUSG00000098682;ENSMUST00000183522,ENSMUST00000183803,ENSMUST00000184869;lincRNA;15703187
IGF2-AS;ENSG00000099869;ENST00000381361,ENST00000445504,ENST00000381363;antisense;Igf2as;111975;NR_002855.2;antisense;10731720
JPX;ENSG00000225470;ENST00000414209,ENST00000602772,ENST00000602895,ENST00000602546,ENST00000602920,ENST00000602938,ENST00000602737,ENST00000602294,ENST00000453317,ENST00000602985,ENST00000415215,ENST00000538519;lincRNA;Jpx;ENSMUSG00000097571;ENSMUST00000181020,ENSMUST00000183027,ENSMUST00000182447,ENSMUST00000182486;lincRNA;12045143
LINCMD1;ENSG00000225613;ENST00000418518;lincRNA;Gm28653;ENSMUSG00000099906;ENSMUST00000185494;lincRNA;22000014
H19;ENSG00000130600;ENST00000414790,ENST00000412788,ENST00000439725,ENST00000422826,ENST00000411754,ENST00000446406,ENST00000431095,ENST00000417089,ENST00000442037,ENST00000428066,ENST00000447298;lincRNA;H19;ENSMUSG00000000031;ENSMUST00000136359,ENSMUST00000152754,ENSMUST00000149974,ENSMUST00000140716,ENSMUST00000132294;lincRNA;18794369
IFNG-AS1;ENSG00000255733;ENST00000538665,ENST00000541715,ENST00000536914;antisense;Tmevpg1;103214;NR_104123.1;lncRNA;11735227
SNHG6;ENSG00000245910;ENST00000520348,ENST00000520944,ENST00000520619,ENST00000521399;lincRNA;Snhg6;ENSMUSG00000098234;ENSMUST00000182819,ENSMUST00000182043,ENSMUST00000182498,ENSMUST00000182580,ENSMUST00000182742;lincRNA;16226852
TSIX;ENSG00000270641;ENST00000604411;lincRNA;Tsix;ENSMUSG00000085715;ENSMUST00000152916;antisense;10192391
TUG1;ENSG00000253352;ENST00000519077,ENST00000540687,ENST00000602393,ENST00000521091,ENST00000602971,ENST00000566220,ENST00000569149,ENST00000569384,ENST00000563812;antisense;Tug1;ENSMUSG00000056579;ENSMUST00000132077,ENSMUST00000153313,ENSMUST00000144852,ENSMUST00000182330;antisense;15797018
ZEB2-AS1;ENSG00000238057;ENST00000427278,ENST00000608361,ENST00000610265,ENST00000595109,ENST00000609842,ENST00000609842,ENST00000609376,ENST00000595449,ENST00000602006,ENST00000610937,ENST00000421083,ENST00000609819,ENST00000428623;antisense;Zeb2os;ENSMUSG00000052248;ENSMUST00000127150,ENSMUST00000130827;antisense;13679026, 18347095
RP11-66N24.4;ENSG00000157306;ENST00000553985,ENST00000556354;antisense;Zfhx2os;ENSMUSG00000093452;ENSMUST00000183750;antisense;16257534
DLEU2;ENSG00000231607;ENST00000621282,ENST00000235290,ENST00000458725,ENST00000425586,ENST00000449579,ENST00000443587,ENST00000433070,ENST00000421758;antisense;Dleu2;ENSMUSG00000097589;ENSMUST00000180917,ENSMUST00000182756,ENSMUST00000182756,ENSMUST00000182768,ENSMUST00000182259,ENSMUST00000180377,ENSMUST00000183066,ENSMUST00000183054,ENSMUST00000182286,ENSMUST00000183245,ENSMUST00000183079,ENSMUST00000182325,ENSMUST00000182957,ENSMUST00000182537;lincRNA;15188451
MIR143HG;ENSG00000249669;ENST00000602964,ENST00000614517,ENST00000518014,ENST00000505254,ENST00000519898,ENST00000522358,ENST00000509909,ENST00000524265,ENST00000505340,ENST00000512096,ENST00000614896,ENST00000523269;lincRNA;Mir143hg;ENSMUSG00000097324;ENSMUST00000181155,ENSMUST00000182244;lincRNA;26423156
